data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-21+19_30_28,-66,-87,-85,28,28,15,28,13804,570,1264955,0,0,0.01778853
2021-06-21+19_30_29,-66,-87,-85,28,28,15,27.99628713,19658,809,1802371,0,0,0.005061241
2021-06-21+19_30_30,-66,-87,-85,28,28,15,28,13551,562,1242028,0,0,0.016332753
2021-06-21+19_30_31,-66,-87,-85,28,28,15,28,20307,839,1861875,0,0,0.004900279
2021-06-21+19_30_32,-66,-89,-85,28,28,15,28,14204,589,1301888,0,0,0.020075888
2021-06-21+19_30_33,-65,-93,-85,28,28,15,28,20900,861,1916300,0,0,0.014150943
2021-06-21+19_30_34,-66,-93,-85,28,28,15,27.99838969,15042,625,1378740,0,0,0.012538568
2021-06-21+19_30_35,-66,-97,-85,28,28,15,27.98870056,12884,536,1180540,0,0,0.019034567
2021-06-21+19_30_36,-66,-93,-85,28,28,15,27.97244094,12334,513,1130118,0,0,0.010032908
2021-06-21+19_30_37,-66,-96,-85,28,28,15,25.78571429,213,22,17855,0,0,0
2021-06-21+19_30_38,-66,-82,-85,28,28,15,27.99428571,12742,530,1167521,0,0,0.009714774
2021-06-21+19_30_39,-65,-89,-85,28,28,15,27.93073593,5608,238,512765,0,0,0.008837045
2021-06-21+19_30_40,-66,-88,-85,28,28,15,28,12840,535,1176665,0,0,0.007727975
2021-06-21+19_30_41,-66,-89,-85,28,28,15,27.99215686,12388,514,1135291,0,0,0.011963631
2021-06-21+19_30_42,-66,-89,-85,28,28,15,28,13178,547,1207806,0,0,0.009396377
2021-06-21+19_30_43,-65,-96,-85,28,28,15,27.99227799,6248,267,571445,0,0,0.023444827
2021-06-21+19_30_45,-65,-89,-85,28,28,15,27.95010846,11133,465,1019747,0,0,0.013294337
2021-06-21+19_30_46,-66,-94,-85,28,28,15,20.5,22,10,410,0,0,0
2021-06-21+19_30_47,-66,-95,-85,28,28,15,27.89320388,12405,521,1136111,0,0,0.022920605
2021-06-21+19_30_48,-66,-86,-85,28,28,15,27.95874263,12355,513,1132195,0,0,0.006033789
2021-06-21+19_30_49,-66,-94,-85,28,28,15,27.67924528,1281,61,115734,0,0,0.006206362
2021-06-21+19_30_50,-66,-94,-85,28,28,15,27.99136069,11241,468,1029798,0,0,0.010388238
2021-06-21+19_30_51,-66,-94,-85,28,28,15,27.98916968,13451,558,1232701,0,0,0.009207425
2021-06-21+19_30_52,-66,-94,-85,28,28,15,21,28,10,1028,0,0,0
2021-06-21+19_30_53,-66,-94,-85,28,25,15,27.99431818,12830,532,1175678,0,0,0.007733952
2021-06-21+19_30_54,-66,-97,-85,28,28,15,14,20,10,97,0,0,0
2021-06-21+19_30_55,-66,-92,-85,28,28,15,27.96957404,11914,498,1091553,0,0,0.002010387
2021-06-21+19_30_56,-66,-95,-85,28,28,15,20.5,20,9,406,0,0,0.166666667
2021-06-21+19_30_57,-66,-89,-85,28,28,15,27.97477477,13489,560,1236011,0,0,0.016836735
2021-06-21+19_30_58,-66,-95,-85,28,28,15,24.5,65,13,4233,0,0,0.029850746
2021-06-21+19_30_59,-66,-91,-85,28,28,15,27.9338843,5865,248,536630,0,0,0.009457862
2021-06-21+19_31_00,-66,-95,-85,28,28,15,27.97826087,7772,328,711519,0,0,0.009557793
2021-06-21+19_31_01,-66,-87,-85,28,28,15,27.95795796,8130,339,744325,0,0,0.006112469
