dataTime,pcelRsrp,ncell1Rsrp,ncell2Rsrp,mcs1Dl,mcs2Dl,wbCqi,mcs2dl_ave,prb_used_pcell,pdu_used,tbs_used,prb_used_ncell1,prb_used_ncell2,prb_retxrate
2021-06-10+20_09_37,-75,-97,-95,28,28,15,28,12386,512,1135100,0,127,0
2021-06-10+20_09_38,-76,-98,-95,28,28,15,27.99777283,10963,454,1004353,0,6272,0.002275209
2021-06-10+20_09_39,-76,-100,-95,28,28,15,27.95780591,11549,479,1057922,0,7099,0
2021-06-10+20_09_40,-77,-98,-95,28,28,15,27.99319728,14303,592,1310866,0,12471,0
2021-06-10+20_09_41,-77,-96,-95,28,28,15,27.88967136,10346,432,947212,0,6697,0.002410568
2021-06-10+20_09_42,-77,-98,-95,28,28,15,27.99764706,10346,429,948008,0,5606,0.006529672
2021-06-10+20_09_43,-77,-99,-108,28,28,15,27.97482014,13582,560,1244644,0,1601,0.005491689
2021-06-10+20_09_44,-76,-97,-108,28,28,15,28,11966,495,1096619,0,12228,0.001335336
2021-06-10+20_09_45,-77,-98,-108,28,22,15,27.98394495,10621,440,973046,0,38,0
2021-06-10+20_09_46,-76,-101,-108,28,28,15,27.95183486,10648,441,975348,0,22193,0.013251784
2021-06-10+20_09_47,-77,-98,-108,28,28,15,27.99799197,12158,503,1113949,0,15890,0.004095675
2021-06-10+20_09_48,-77,-98,-108,28,28,15,28,12145,502,1113020,0,11493,0.00613748
2021-06-10+20_09_49,-77,-99,-108,28,28,15,27.98538622,11686,484,1070613,0,22197,0.002134745
2021-06-10+20_09_50,-77,-98,-98,28,28,15,28,10369,429,949943,0,15570,0
2021-06-10+20_09_51,-77,-98,-98,28,28,15,28,14077,580,1290395,0,22137,0.003045326
2021-06-10+20_09_54,-77,-101,-98,28,22,15,27.99339934,22166,919,2030692,0,16398,0.00225063
2021-06-10+20_09_55,-77,-96,-98,28,28,15,27.99773243,10771,447,986549,0,12555,0.002315672
2021-06-10+20_09_56,-77,-100,-98,28,28,15,27.99836868,14943,617,1369526,0,11913,0
2021-06-10+20_09_57,-77,-98,-98,28,28,15,28,10578,439,969142,0,3144,0.002357823
2021-06-10+20_09_58,-77,-97,-98,28,28,15,28,10346,429,947869,0,1277,0
2021-06-10+20_09_59,-77,-100,-98,28,28,15,28,11810,488,1082083,0,13026,0.002112379
2021-06-10+20_10_00,-77,-97,-98,28,28,15,28,12314,509,1128263,0,8000,0.002026096
2021-06-10+20_10_01,-77,-96,-98,28,28,15,27.99799197,12131,501,1111901,0,4492,0
2021-06-10+20_10_02,-77,-96,-98,28,28,15,28,11300,468,1035137,0,17299,0.004405286
2021-06-10+20_10_03,-77,-101,-98,28,28,15,28,14371,592,1317112,0,16641,0
2021-06-10+20_10_04,-77,-101,-98,28,28,15,27.99311927,10623,441,973030,0,4916,0.002347859
2021-06-10+20_10_05,-77,-99,-98,28,28,15,28,10350,428,948417,0,12771,0.002409639
2021-06-10+20_10_06,-76,-96,-98,28,28,15,28,13875,573,1271658,0,5942,0
2021-06-10+20_10_07,-76,-96,-98,28,28,15,28,12048,499,1104117,0,7909,0
2021-06-10+20_10_08,-77,-97,-98,28,28,15,28,10362,428,949480,0,13204,0.002406855
2021-06-10+20_10_09,-76,-99,-98,28,28,15,27.99275362,13462,557,1233485,0,12529,0.001853637
2021-06-10+20_10_10,-77,-97,-98,28,28,15,27.99803922,12425,514,1138599,0,7186,0.002008032
2021-06-10+20_10_11,-76,-98,-98,28,28,15,27.98352941,10361,431,948826,0,7134,0
2021-06-10+20_10_12,-76,-99,-98,28,28,15,28,12288,507,1126093,0,11470,0.002030374
2021-06-10+20_10_13,-77,-97,-98,28,28,15,27.99821747,13678,566,1253332,0,12090,0.003642191
2021-06-10+20_10_14,-77,-97,-98,28,28,15,27.93793103,10601,441,970906,0,13837,0
2021-06-10+20_10_15,-77,-99,-98,28,28,15,28,14637,604,1341320,0,22493,0.003404371
2021-06-10+20_10_16,-77,-99,-98,28,28,15,27.98661568,12777,528,1170597,0,18358,0.00195282
2021-06-10+20_10_17,-76,-98,-98,28,28,15,27.996139,12644,522,1158562,0,16938,0.00784683
2021-06-10+20_10_18,-77,-98,-98,28,28,15,28,12362,510,1132878,0,10887,0.00402836
2021-06-10+20_10_19,-77,-98,-98,28,27,15,27.99833887,14695,606,1346660,0,14385,0.010104412
2021-06-10+20_10_22,-77,-97,-98,28,28,15,27.9971778,25920,1073,2375028,0,20520,0.001925298
2021-06-10+20_10_23,-77,-97,-98,28,28,15,27.99817851,13385,553,1226630,0,2841,0.003721623
2021-06-10+20_10_24,-77,-96,-98,28,28,15,27.96637168,13756,569,1260465,0,22582,0.001814092
2021-06-10+20_10_25,-77,-98,-98,28,28,15,27.99829642,14308,591,1311312,0,16591,0.003482379
2021-06-10+20_10_26,-77,-99,-98,28,28,15,27.99817518,13360,554,1224004,0,17615,0.001867762
2021-06-10+20_10_27,-77,-97,-98,28,28,15,27.99824561,13919,574,1275585,0,22909,0.00535944
2021-06-10+20_10_28,-77,-97,-98,28,28,15,28,14160,582,1297848,0,24366,0.007012623
2021-06-10+20_10_29,-77,-100,-98,28,28,15,28,15533,639,1423847,0,21609,0.004805228
2021-06-10+20_10_30,-77,-99,-98,28,28,15,28,12796,531,1172167,0,17778,0.005827053
2021-06-10+20_10_31,-77,-98,-98,28,28,15,27.99661017,14397,593,1319640,0,13821,0.003460926
2021-06-10+20_10_32,-77,-96,-98,28,28,15,27.9723127,14953,619,1370147,0,10606,0
2021-06-10+20_10_33,-77,-98,-98,28,28,15,28,14906,614,1366385,0,15868,0.005006341
2021-06-10+20_10_34,-77,-99,-96,28,28,15,27.99830795,14427,594,1322316,0,1119,0.001729864
2021-06-10+20_10_35,-77,-99,-96,28,28,15,27.95673877,14632,605,1340809,0,12813,0.00170567
2021-06-10+20_10_36,-77,-97,-96,28,28,15,27.99773756,21577,885,1978357,0,13054,0.0011573
2021-06-10+20_10_37,-77,-101,-96,28,26,15,25.43896104,7415,391,669774,0,17605,0.003628057
2021-06-10+20_10_38,-77,-101,-96,28,14,15,19.46666667,84,41,3218,0,13352,0
2021-06-10+20_10_39,-77,-101,-101,28,28,15,20.16666667,30,15,674,0,17827,0
2021-06-10+20_10_40,-77,-96,-101,28,28,15,27.90291262,13976,622,1281261,0,18351,0.001785587
2021-06-10+20_10_41,-77,-99,-101,28,28,15,28,13221,776,1216625,0,13101,0.001208733
2021-06-10+20_10_42,-77,-97,-101,28,28,15,28,19216,948,1765241,0,12489,0.002129096
2021-06-10+20_10_43,-77,-94,-101,28,28,15,28,22824,934,2092968,0,11280,0.056157473
2021-06-10+20_10_45,-77,-96,-101,28,28,15,28,21339,873,1957188,0,3463,0.105095408
2021-06-10+20_10_46,-77,-97,-101,28,28,15,28,21199,868,1944408,0,11397,0.151327115
2021-06-10+20_10_47,-77,-101,-101,28,28,15,27.99322799,10653,448,976116,0,12685,0.106216965
2021-06-10+20_10_48,-77,-97,-101,28,28,15,27.96259843,12303,513,1127060,0,12985,0.077805262
2021-06-10+20_10_49,-77,-101,-101,28,28,15,28,8994,373,824087,0,17892,0.138753232
2021-06-10+20_10_50,-77,-96,-101,28,28,15,28,10493,439,961794,0,10924,0.149193221
2021-06-10+20_10_51,-77,-96,-101,28,28,15,27.91463415,13835,579,1267628,0,21100,0.121140897
2021-06-10+20_10_52,-77,-96,-101,28,28,15,27.99854651,16746,689,1535820,0,7873,0.142110656
2021-06-10+20_10_53,-77,-96,-96,28,28,15,28,18317,758,1679713,0,13539,0.134929631
2021-06-10+20_10_54,-77,-96,-96,28,28,15,27.997669,20922,859,1918760,0,13858,0.110042962
2021-06-10+20_10_55,-77,-96,-96,28,28,15,27.98905109,13223,553,1211745,0,22462,0.14646269
2021-06-10+20_10_56,-77,-96,-96,28,28,15,27.99067164,12974,539,1189229,0,11798,0.11855425
2021-06-10+20_10_57,-77,-97,-96,28,28,15,28,12683,526,1162507,0,18828,0.156266631
2021-06-10+20_10_58,-77,-102,-96,28,28,15,28,5080,215,464616,0,16386,0.104372355
2021-06-10+20_10_59,-77,-102,-96,28,28,15,28,10063,421,922099,0,18873,0.181204231
2021-06-10+20_11_00,-77,-102,-96,28,28,15,27.76190476,6077,259,555543,0,16581,0.061901822
2021-06-10+20_11_01,-77,-97,-96,28,28,15,27.98490566,19353,796,1774630,0,15216,0.120438122
